State,OCC_CODE,Occupation title,Occupation group,Total employment,Annual mean wage,Annual median wage,Top 10 percent wage
Alabama,00-0000,All Occupations,total,"1,912,990","42,510","32,100","77,780"
Alabama,11-0000,Management Occupations,Major,"70,090","110,210","95,870","187,720"
Alabama,11-1011,Legislators,detailed,"1,210","23,390","18,560","37,320"
Alabama,11-1021,Sales Managers,detailed,"2,510","122,120","109,210","198,540"
Alabama,11-1031,Public Relations and Fundraising Managers,detailed,400,"94,150","82,380","151,320"
Alabama,Nov-11,Administrative Services Managers,detailed,640,"97,730","88,120","156,240"
Alabama,Nov-21,Computer and Information Systems Managers,detailed,"3,260","117,950","111,800","175,030"
Alabama,Nov-22,Financial Managers,detailed,"4,990","127,420","114,350","201,470"
Alabama,Nov-31,Industrial Production Managers,detailed,"3,110","98,460","93,280","147,160"
Alabama,Nov-11,Purchasing Managers,detailed,950,"108,990","108,330","151,630"
Alabama,Nov-21,"Transportation, Storage, and Distribution Managers",detailed,610,"94,670","89,390","142,540"
Alabama,Nov-31,Compensation and Benefits Managers,detailed,90,"125,350","111,890","196,400"
Alabama,Nov-51,Human Resources Managers,detailed,"1,320","100,130","94,040","155,280"
Alabama,Nov-61,Training and Development Managers,detailed,150,"122,570","104,980","202,020"
Alabama,Nov-71,Construction Managers,detailed,"3,010","88,660","82,290","129,530"
Alabama,Nov-11,"Education Administrators, Preschool and Childcare Center/Program",detailed,120,"45,870","36,430","89,000"
Alabama,Nov-21,"Education Administrators, Elementary and Secondary School",detailed,"3,460","79,410","78,270","102,440"
Alabama,Nov-31,"Education Administrators, Postsecondary",detailed,"2,460","104,560","87,580","174,950"
Alabama,Nov-21,"Education Administrators, All Other",detailed,560,"90,250","92,590","124,950"
Alabama,Nov-31,Architectural and Engineering Managers,detailed,"2,410","139,770","132,180","197,080"
Alabama,Nov-32,Food Service Managers,detailed,"2,250","64,350","60,410","99,290"
Alabama,Nov-33,Funeral Service Managers,detailed,280,"64,180","59,220","101,720"
Alabama,Nov-39,Lodging Managers,detailed,520,"48,000","44,780","70,930"
Alabama,Nov-41,Medical and Health Services Managers,detailed,"2,960","100,260","88,730","154,090"
Alabama,Nov-51,Natural Sciences Managers,detailed,140,"105,330","101,320","129,730"
Alabama,Nov-61,Postmasters and Mail Superintendents,detailed,280,"74,640","73,660","90,000"
Alabama,Nov-81,"Property, Real Estate, and Community Association Managers",detailed,440,"76,510","67,780","120,670"
Alabama,Nov-11,Social and Community Service Managers,detailed,"1,190","67,670","61,090","103,200"
Alabama,Nov-21,Emergency Management Directors,detailed,180,"65,750","58,000","104,470"
Alabama,Nov-31,"Managers, All Other",detailed,"2,010","101,240","98,520","152,610"
Alabama,Nov-41,Business and Financial Operations Occupations,major,"72,290","69,890","63,200","108,170"
Alabama,Nov-51,"Buyers and Purchasing Agents, Farm Products",detailed,250,"62,050","59,590","98,030"
Alabama,Nov-61,"Wholesale and Retail Buyers, Except Farm Products",detailed,310,"53,350","51,680","79,630"
Alabama,Nov-99,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"6,240","65,640","61,720","100,310"
Alabama,13-0000,"Claims Adjusters, Examiners, and Investigators",detailed,"3,730","61,010","61,170","89,100"
Alabama,13-1021,Compliance Officers,detailed,"1,400","67,100","64,430","99,590"
Alabama,13-1022,Cost Estimators,detailed,"2,180","61,530","58,860","93,200"
Alabama,13-1023,Human Resources Specialists,detailed,"5,310","57,770","54,550","89,140"
Alabama,13-1031,Labor Relations Specialists,detailed,940,"47,030","26,290","102,280"
Alabama,13-1032,Logisticians,detailed,"3,460","87,870","87,890","118,470"
Alabama,13-1041,Management Analysts,detailed,"4,590","93,430","80,340","155,270"
Alabama,13-1051,"Meeting, Convention, and Event Planners",detailed,400,"46,300","41,470","71,820"
Alabama,13-1071,Fundraisers,detailed,680,"51,180","48,120","78,510"
Alabama,13-1075,"Compensation, Benefits, and Job Analysis Specialists",detailed,590,"62,080","58,540","93,070"
Alabama,13-1081,Training and Development Specialists,detailed,"2,670","57,170","54,590","92,160"
Alabama,13-1111,Market Research Analysts and Marketing Specialists,detailed,"3,110","59,920","54,330","99,040"
Alabama,13-1121,"Business Operations Specialists, All Other",detailed,"6,870","80,360","77,010","121,390"
Alabama,13-1131,Accountants and Auditors,detailed,"15,360","67,750","61,890","100,990"
Alabama,13-1141,Appraisers and Assessors of Real Estate,detailed,710,"52,040","45,890","81,740"
Alabama,13-1151,Budget Analysts,detailed,860,"77,860","75,880","109,580"
Alabama,13-1161,Credit Analysts,detailed,490,"65,190","59,020","102,910"
Alabama,13-1199,Financial Analysts,detailed,"1,420","82,530","73,330","128,940"
Alabama,13-2011,Insurance Underwriters,detailed,960,"57,880","54,070","86,690"
Alabama,13-2021,Financial Examiners,detailed,"1,030","65,320","60,520","99,560"
Alabama,13-2031,Credit Counselors,detailed,80,"52,010","37,560","116,530"
